ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
3,2,3,91,88,90
3,1,2,64,62,54
3,1,2,75,75,84
2,1,1,58,54,67
5,1,2,59,55,66
1,1,2,84,84,87
3,1,1,78,80,79
1,2,2,52,54,35
2,1,3,73,69,61
2,1,2,50,46,54
4,2,1,78,84,87
3,1,3,73,68,87
4,2,1,76,74,82
5,1,1,76,70,79
1,1,1,58,50,47
4,2,1,82,89,76
2,1,2,49,50,60
2,1,3,63,55,71
6,1,2,72,65,72
3,1,1,86,81,68
3,1,3,60,56,60
3,2,3,65,74,78
1,2,2,66,64,63
5,1,2,74,70,70
5,2,2,100,96,100
3,1,2,93,82,73
1,1,2,57,46,53
4,1,3,67,61,73
3,1,3,72,66,69
3,1,1,81,74,85
3,1,3,74,72,74
3,2,1,78,73,67
1,1,1,79,82,76
3,1,1,72,72,66
3,1,1,91,85,66
3,1,2,54,47,58
1,1,2,46,43,57
5,1,1,49,48,48
3,1,3,71,70,80
2,1,3,47,37,39
5,1,3,96,88,94
3,1,3,72,71,64
1,1,2,57,52,62
2,2,2,93,92,76
2,2,2,55,48,58
3,1,3,62,69,57
6,2,3,63,65,77
2,1,3,62,56,49
1,1,2,39,45,41
2,1,3,85,79,83
3,2,1,78,76,64
1,1,1,24,16,23
6,1,2,100,100,94
2,1,1,39,40,44
4,2,2,99,100,86
4,2,2,84,93,88
2,1,2,81,88,81
4,1,1,69,71,77
1,1,1,67,62,85
3,1,2,73,67,60
2,1,2,49,42,47
4,2,1,44,46,43
3,1,2,70,64,58
2,2,2,75,76,62
5,1,1,53,50,40
2,1,2,54,50,42
3,1,3,71,68,61
6,1,1,79,75,79
4,2,1,58,54,50
5,1,1,86,85,80
1,2,3,69,77,90
6,1,3,85,79,96
3,2,1,66,79,59
2,1,2,76,70,80
3,1,3,95,96,93
3,1,2,65,68,56
4,1,1,58,62,71
3,1,2,67,62,59
2,1,1,87,88,79
4,2,2,80,81,92
4,1,2,81,84,83
4,1,3,46,42,31
3,1,1,59,53,55
3,1,2,71,75,91
3,2,3,91,92,76
3,2,2,71,72,65
3,1,2,54,48,49
3,2,2,73,70,70
1,2,3,62,68,82
4,1,2,70,70,82
1,1,2,48,51,45
1,1,3,64,62,66
1,1,2,74,65,69
6,2,2,80,84,65
1,2,2,65,68,47
2,1,2,66,62,64
1,1,3,77,65,84
1,1,2,41,42,33
3,1,3,64,58,71
3,1,1,50,48,49
3,1,2,84,83,83
1,1,3,73,72,62
3,1,1,80,76,87
3,1,1,57,60,51
4,1,1,66,61,50
2,2,2,65,65,50
2,1,2,63,61,50
3,2,1,84,78,80
5,2,2,75,77,76
3,1,2,79,70,80
3,1,2,56,56,67
2,2,2,94,90,84
1,1,2,32,36,33
1,1,3,70,78,71
3,1,2,62,68,62
3,1,1,70,68,74
3,1,2,82,74,86
3,1,1,73,72,78
5,1,2,74,78,74
4,2,2,61,64,57
1,1,1,71,66,51
3,2,3,78,87,86
1,2,2,61,56,56
2,1,2,40,41,51
1,2,2,66,71,63
3,1,2,74,74,81
5,1,1,63,68,65
3,1,2,58,62,47
4,1,3,76,73,77
3,2,2,78,73,67
3,1,1,39,33,28
3,2,3,80,81,82
5,1,2,72,72,57
4,2,2,96,100,88
1,1,2,55,57,70
3,1,2,50,50,52
3,1,1,53,48,48
4,2,2,65,62,72
4,1,3,69,61,64
2,2,1,56,61,50
2,2,3,93,97,91
2,1,3,83,82,84
5,2,1,52,60,39
3,1,2,48,55,58
3,1,2,72,68,78
1,1,1,58,47,56
3,1,2,81,71,59
1,1,2,49,43,29
3,1,2,57,48,67
1,1,2,45,45,52
2,1,2,43,44,58
4,1,3,64,60,64
1,2,2,57,57,64
4,1,2,51,48,48
1,1,1,53,56,38
2,1,3,55,57,66
1,1,2,71,62,60
2,1,2,58,58,66
4,1,2,56,55,62
3,2,1,62,70,59
1,2,2,67,69,62
4,2,1,86,85,85
6,1,3,57,53,65
1,1,2,66,59,69
4,1,2,64,66,58
1,2,1,70,67,61
4,1,1,86,84,77
2,2,3,92,90,78
6,2,1,52,50,45
6,2,2,83,80,81
1,2,2,72,68,58
3,2,3,87,86,83
2,2,2,80,85,65
3,1,3,62,57,43
1,1,2,55,47,42
3,2,1,82,87,64
5,1,2,72,69,59
3,1,2,71,57,69
1,1,1,59,47,48
1,1,2,75,79,72
2,1,3,67,73,61
3,2,2,100,100,91
3,1,2,53,48,63
6,1,2,81,76,90
3,2,2,48,53,45
4,2,2,45,42,39
4,1,2,74,75,61
1,2,2,49,51,57
5,2,3,86,80,70
1,2,2,91,89,85
6,1,1,98,98,80
1,1,1,34,29,26
5,1,1,69,72,66
2,1,3,40,43,41
3,1,3,39,43,48
5,2,3,71,77,59
3,1,1,66,67,54
3,1,3,75,76,57
4,1,2,79,76,83
2,2,2,65,68,72
3,1,2,48,39,37
1,1,2,56,53,56
5,1,2,62,61,42
5,1,3,100,94,84
1,1,2,65,62,55
5,1,1,59,56,62
3,1,1,62,70,70
4,1,1,55,52,59
1,2,1,81,84,74
1,2,3,60,60,53
3,1,3,60,57,62
1,1,1,48,47,59
2,1,2,62,56,68
2,2,2,48,51,55
4,1,2,56,50,55
2,1,2,51,50,38
3,2,2,61,63,59
3,2,1,72,70,65
3,2,1,59,59,63
2,1,2,62,58,53
3,1,2,66,62,55
3,1,1,81,82,63
2,1,2,39,44,38
3,2,1,50,58,43
3,1,1,46,46,45
4,1,2,43,35,45
1,1,3,66,67,56
5,2,2,51,48,43
3,1,1,45,48,47
4,1,3,61,54,67
1,2,2,42,45,53
4,1,2,100,100,87
4,2,1,99,100,89
5,1,2,78,80,87
1,1,2,77,80,79
3,1,2,79,79,61
3,1,3,75,66,65
5,2,2,82,82,78
5,1,1,60,49,52
6,1,2,41,44,43
1,2,1,74,76,70
6,2,2,94,89,87
2,1,2,51,50,58
6,1,2,85,85,87
3,1,3,52,51,44
3,1,1,67,65,59
1,2,2,71,74,82
5,1,3,76,71,62
1,1,2,59,63,61
3,1,3,77,83,79
2,2,2,72,66,59
3,1,3,92,98,87
6,1,2,83,81,77
1,1,1,63,51,52
2,2,2,58,53,64
2,2,2,95,94,75
4,1,2,85,78,69
4,1,2,57,55,73
4,2,2,90,93,79
3,2,2,84,89,85
4,1,1,74,68,67
3,1,2,56,48,66
3,2,2,68,72,79
1,2,1,47,43,53
3,1,2,65,66,70
3,1,2,66,68,73
2,1,2,49,48,40
3,1,2,87,82,82
4,1,2,71,66,65
5,1,2,82,85,71
2,2,3,84,81,84
1,1,2,46,44,37
3,1,2,72,72,74
3,1,2,68,65,53
2,1,2,82,82,75
4,1,1,55,45,56
2,1,1,47,43,38
4,1,2,57,48,50
3,1,2,53,47,49
4,1,1,52,57,56
3,1,2,62,57,53
4,1,1,65,64,57
4,1,3,77,78,57
6,1,1,53,57,61
5,2,2,77,83,73
3,1,2,60,63,46
3,1,2,96,93,81
3,1,1,76,68,72
6,2,1,63,66,43
3,1,2,66,61,58
5,1,2,86,88,98
1,1,3,76,78,77
1,1,1,63,55,49
2,1,1,61,55,59
2,1,2,48,48,62
6,1,1,89,92,75
2,2,1,59,58,44
3,2,3,72,69,56
3,1,3,80,85,67
1,2,3,63,58,48
4,1,1,86,85,97
3,2,2,52,51,52
4,1,2,83,88,71
3,2,1,86,88,68
4,2,3,94,99,93
1,2,2,55,55,48
3,2,1,84,96,82
1,2,1,92,89,89
2,1,2,57,60,48
2,2,1,67,57,68
1,2,2,84,81,73
3,2,1,56,61,65
5,1,2,81,79,72
1,1,2,57,53,59
4,1,1,59,62,63
4,1,1,95,83,78
4,1,1,77,74,69
2,1,2,54,62,64
3,1,2,74,72,60
1,1,1,72,80,67
4,2,1,51,58,49
4,2,2,53,56,40
4,1,2,47,48,41
2,1,1,65,68,60
1,1,2,60,48,51
1,2,2,67,65,70
2,1,3,50,36,64
3,1,3,57,43,56
5,1,2,69,74,69
2,1,1,60,59,64
3,1,1,66,73,70
4,2,2,85,90,91
5,2,1,85,86,88
5,1,2,96,89,77
5,1,2,64,54,49
4,1,2,64,70,64
4,2,1,85,91,80
1,2,1,70,65,75
1,1,2,83,82,93
1,1,2,80,83,62
3,1,2,55,48,56
3,1,2,81,76,77
5,1,1,91,89,87
3,2,2,48,48,41
2,2,1,73,78,88
3,1,2,56,58,46
3,2,1,63,54,64
6,1,1,87,86,80
4,1,2,84,78,78
6,1,2,60,72,64
3,1,2,65,61,50
2,1,2,73,67,73
6,2,2,99,97,94
2,2,2,84,87,75
4,1,1,53,42,38
1,1,2,66,66,66
6,2,3,100,100,93
5,1,2,95,98,82
6,1,2,67,70,83
1,1,2,74,64,56
4,2,1,67,63,71
3,2,2,81,75,79
1,1,2,65,69,64
4,1,3,58,58,55
1,1,2,55,56,59
3,1,2,68,72,73
4,1,1,89,88,86
1,2,2,84,95,76
1,2,1,46,47,48
1,2,1,91,95,83
1,1,2,43,48,46
2,1,2,46,42,45
5,1,2,60,57,57
3,2,3,67,74,72
3,2,2,83,89,95
1,2,2,67,66,67
2,1,3,59,56,55
6,1,1,48,46,60
3,1,3,52,47,55
5,2,2,85,90,83
3,1,2,71,69,62
2,2,2,87,86,76
5,1,3,82,76,71
2,1,3,59,65,86
2,2,2,63,61,53
6,1,1,66,63,55
4,1,3,59,59,59
3,2,2,43,36,39
4,1,2,68,68,64
3,2,2,82,90,72
4,2,1,70,76,85
1,1,1,64,62,75
4,1,1,65,57,67
1,1,3,66,54,60
3,2,1,86,92,86
5,1,1,50,47,34
2,1,2,74,76,71
4,1,1,89,86,83
3,1,1,64,54,61
4,2,2,78,81,79
3,1,1,69,64,74
4,1,2,55,58,73
4,1,2,66,63,56
6,2,2,92,98,89
2,1,3,61,58,61
1,1,1,50,51,43
4,1,2,42,41,56
6,1,3,61,66,77
1,2,1,86,92,96
2,2,1,63,60,71
2,1,2,88,84,75
2,1,2,72,70,74
3,2,2,71,68,63
3,1,2,69,76,86
1,1,2,50,51,38
2,1,1,57,43,64
4,2,1,92,83,81
3,2,2,95,97,82
4,1,2,82,76,73
1,2,3,60,53,46
3,2,2,82,88,76
1,1,2,63,58,68
4,1,1,71,66,73
5,1,3,77,84,88
5,1,2,60,60,45
3,1,3,66,72,64
1,1,3,47,53,52
1,2,1,60,52,34
5,2,2,44,47,29
1,1,3,61,60,51
3,2,2,88,89,100
4,1,1,85,85,97
5,2,1,68,69,71
1,1,2,57,60,47
1,2,3,38,41,31
3,2,2,51,64,47
2,1,2,63,59,52
2,1,2,36,31,31
4,1,2,78,81,76
2,2,2,76,81,62
6,2,2,78,85,68
2,2,2,71,68,86
4,2,2,88,90,67
5,2,2,83,88,73
2,1,1,50,48,52
3,1,2,64,64,59
3,1,3,83,89,95
4,2,2,67,67,71
4,1,2,79,78,92
4,1,2,54,49,54
4,1,2,59,55,39
6,1,2,94,96,90
1,2,2,76,73,75
3,1,2,73,68,54
3,1,2,60,61,73
1,2,3,64,67,76
4,1,1,60,58,70
1,1,2,55,47,49
2,1,2,52,48,52
3,1,2,70,63,68
3,1,1,47,40,52
6,1,1,66,69,50
3,2,1,78,80,70
3,1,2,68,72,80
5,1,2,56,63,49
1,1,1,47,52,36
1,1,1,61,51,49
1,1,2,51,43,45
4,2,3,75,79,55
2,2,2,73,68,60
3,1,2,71,66,63
3,2,2,86,91,95
3,1,1,74,78,84
4,1,3,61,49,51
5,1,1,60,57,36
3,2,1,66,78,65
5,1,3,81,79,78
1,1,2,62,51,39
4,1,1,67,64,55
4,1,2,71,72,62
3,2,2,53,58,64
3,2,1,73,75,74
5,2,2,41,42,58
5,2,2,87,93,95
1,1,2,85,85,80
6,1,1,81,83,86
2,1,2,65,70,84
3,1,2,95,90,88
5,1,1,67,69,58
2,1,3,100,96,93
5,1,2,87,76,95
1,1,1,70,62,70
1,1,2,95,94,88
6,1,1,82,88,88
4,2,1,70,63,79
2,1,3,50,56,42
5,1,1,65,70,53
3,1,2,65,66,42
4,1,1,67,68,63
5,1,2,79,72,69
2,1,2,79,86,89
1,1,2,57,52,48
5,1,1,47,49,43
1,2,2,70,73,78
4,1,1,70,61,73
4,1,1,75,79,57
4,2,3,77,74,67
2,2,2,76,78,80
3,1,2,86,86,84
6,1,1,77,68,70
1,2,2,93,95,86
5,2,2,70,71,78
2,1,2,52,48,45
3,1,2,64,74,75
3,1,2,57,59,70
6,1,2,71,79,69
2,1,2,47,44,38
1,1,2,66,66,75
3,2,2,62,60,57
3,2,1,73,76,59
4,1,1,90,91,85
2,1,2,65,64,48
5,2,2,81,76,78
1,1,1,78,72,76
4,2,2,78,78,75
3,1,2,66,67,63
2,1,2,53,52,59
1,1,1,67,64,70
2,2,2,84,81,97
1,1,2,47,35,45
1,1,2,84,84,78
3,2,2,82,85,66
4,1,2,56,42,45
4,1,1,75,78,62
3,2,2,66,65,65
1,1,3,85,88,93
1,1,2,49,47,53
3,1,2,69,67,75
1,1,2,17,17,28
3,2,1,66,65,53
3,1,1,62,61,69
4,1,2,73,71,61
4,2,2,63,63,61
2,1,2,60,54,53
3,1,2,83,90,83
2,2,1,62,60,62
2,1,2,78,77,91
1,1,3,72,69,66
3,2,1,68,73,75
6,1,2,82,81,74
4,1,1,69,69,64
4,1,2,35,30,31
4,1,2,46,50,36
3,2,2,66,74,64
2,1,1,73,76,72
4,1,2,52,43,50
5,1,3,65,64,51
5,1,1,76,80,90
4,1,2,58,51,58
3,1,1,53,47,50
4,2,1,85,82,73
4,2,2,51,57,64
1,1,2,60,61,58
1,2,1,53,57,55
5,1,2,59,60,53
5,2,2,65,62,60
6,2,1,63,59,58
3,1,1,74,74,63
6,2,2,50,52,50
4,1,3,64,70,65
4,1,2,64,70,65
1,1,1,56,54,63
3,2,2,81,84,70
1,2,2,90,91,85
5,1,2,70,69,63
2,1,2,59,58,70
4,2,3,79,81,69
4,1,2,61,61,62
6,1,2,68,75,50
2,1,2,52,50,50
3,2,2,90,85,76
3,2,3,65,75,78
3,1,2,52,52,43
3,1,1,44,38,44
4,1,2,72,69,67
4,2,2,85,79,77
2,1,1,63,59,62
3,2,2,58,66,70
3,1,3,76,74,85
4,1,1,65,66,61
5,1,2,50,48,44
2,2,2,85,80,65
4,2,1,64,63,63
1,2,2,69,78,56
1,2,3,47,43,46
3,1,2,62,54,69
1,1,1,66,67,68
6,1,3,89,87,100
4,2,2,79,79,71
3,2,2,92,95,77
1,1,2,42,50,32
4,2,1,56,53,57
1,1,1,32,26,39
1,1,2,62,56,50
3,2,2,82,91,78
2,1,2,98,93,92
1,1,2,74,70,71
5,2,1,98,98,86
1,1,1,42,47,34
4,1,3,87,82,92
1,2,2,95,98,94
4,1,3,94,90,79
3,1,2,71,70,62
6,2,1,100,100,86
4,1,3,46,50,68
1,2,3,65,69,67
5,2,2,52,59,34
5,1,2,66,58,63
5,2,2,93,92,83
5,1,2,72,71,67
1,1,3,71,61,69
3,1,1,85,80,70
2,1,2,86,82,72
4,1,1,66,64,68
1,1,2,91,92,77
3,1,3,76,73,65
5,1,2,70,69,78
2,2,3,56,65,53
1,1,1,49,50,46
4,1,2,54,59,54
1,2,2,70,66,56
5,1,3,87,78,75
2,2,2,60,72,58
3,2,2,49,55,47
4,1,2,74,84,72
4,2,1,52,43,54
3,1,2,80,89,86
3,1,3,92,93,85
3,1,1,61,58,71
2,1,1,60,56,62
2,1,2,72,69,64
5,1,3,79,84,70
3,1,1,51,48,50
4,2,1,65,67,46
4,2,1,62,64,59
5,2,3,72,76,60
1,1,3,49,48,41
2,1,2,68,67,78
3,1,2,93,93,87
5,1,2,76,75,64
2,1,3,73,72,62
2,1,2,59,61,58
4,1,1,62,61,69
2,1,2,69,61,58
3,1,2,87,92,90
2,1,3,75,66,74
2,2,1,81,80,70
1,1,2,56,60,57
5,1,2,85,77,91
4,1,2,62,75,74
3,1,2,60,58,58
4,1,1,57,57,70
4,2,3,64,68,69
5,2,3,80,80,81
5,2,3,90,83,69
6,1,2,56,55,69
1,1,2,77,69,78
3,1,1,83,78,69
2,1,2,54,51,61
4,2,2,68,78,75
1,1,1,78,72,66
1,1,2,28,20,25
2,1,2,45,41,47
1,2,3,78,81,65
2,2,3,89,87,77
1,2,1,50,49,55
2,1,2,64,62,54
4,1,2,61,63,70
2,1,3,74,73,79
6,1,2,37,32,35
3,2,1,62,64,69
3,1,2,60,58,61
3,1,2,63,60,84
2,1,2,78,72,64
5,1,1,78,79,73
3,1,1,67,68,67
5,1,2,86,81,85
5,1,3,92,94,100
4,2,2,69,74,58
4,1,1,55,45,62
2,1,1,78,81,83
3,1,3,41,37,33
3,1,3,49,46,35
4,1,2,68,68,56
2,1,1,66,62,60
2,1,2,62,53,64
3,2,2,89,86,98
3,2,2,56,54,61
6,1,2,66,65,67
3,1,2,49,46,63
2,1,1,67,69,74
2,2,2,69,75,66
1,1,3,66,64,61
2,1,3,56,51,50
4,1,1,66,64,56
3,2,2,82,84,70
5,1,3,80,78,80
4,2,1,55,58,35
2,2,2,47,47,48
3,2,1,44,43,51
3,2,2,97,99,94
4,1,3,69,66,59
4,1,2,94,95,91
4,1,3,60,58,60
5,2,3,71,77,66
1,1,2,63,56,75
4,1,2,69,60,58
4,2,2,100,97,84
3,1,1,67,71,65
5,2,2,87,86,82
5,1,1,88,86,73
3,2,2,79,83,82
3,1,1,80,83,82
3,2,2,99,95,89
3,2,2,84,92,95
2,1,2,79,69,83
3,1,1,67,67,72
4,1,2,71,75,63
6,2,2,78,85,71
3,2,2,73,76,55
3,1,2,86,84,75
4,2,1,61,63,52
4,1,2,58,53,61
1,1,2,62,64,71
3,1,3,47,41,46
2,2,2,87,91,82
3,1,2,76,73,68
3,1,2,81,77,75
3,1,2,82,75,80
6,1,2,77,78,67
3,2,2,57,58,53
4,1,1,44,43,31
2,1,2,82,78,81
3,2,2,90,80,91
6,2,2,100,100,97
4,2,1,64,58,60
4,2,1,91,89,92
2,2,3,69,69,56
4,1,3,66,64,57
5,1,2,46,39,47
2,1,3,60,57,59
2,1,2,66,72,58
4,1,2,73,74,71
5,2,2,81,85,67
5,1,1,59,57,63
2,1,2,87,88,82
1,1,1,78,87,94
4,2,1,62,60,45
5,1,1,65,67,62
3,1,1,68,64,55
4,1,1,74,76,70
3,1,1,51,50,52
4,1,2,32,29,24
4,2,3,99,100,91
2,2,3,100,100,96
3,1,3,82,76,78
1,1,2,59,54,60
3,1,2,74,64,62
4,1,2,60,58,64
3,2,1,59,56,47
1,1,1,62,61,67
3,1,2,71,74,63
1,2,2,73,70,88
4,1,3,61,56,64
1,1,3,41,32,36
3,1,2,82,82,72
1,2,2,69,66,59
3,1,2,84,88,84
3,1,1,94,97,89
3,1,2,83,80,84
1,2,2,84,82,67
4,2,2,55,56,58
6,1,2,53,50,57
2,2,1,69,71,63
3,1,2,82,75,66
4,1,2,68,64,54
3,1,1,66,75,74
3,1,2,81,80,71
2,1,2,67,64,59
3,2,2,56,60,66
6,1,2,94,91,96
2,1,2,46,36,47
1,2,1,69,73,72
1,1,3,100,94,96
2,1,2,48,49,51
5,2,3,74,85,71
6,2,2,78,84,73
3,1,2,57,61,56
3,2,2,76,74,77
4,1,2,42,40,37
3,1,3,61,53,60
3,1,1,63,63,57
3,1,2,57,59,56
2,1,2,65,61,48
3,1,3,89,87,78
2,1,2,77,72,91
3,1,2,45,42,47
3,1,2,64,68,55
2,2,3,63,66,71
4,1,1,87,83,87
6,1,2,83,85,91
3,1,2,64,70,78
2,1,2,80,78,71
3,1,3,42,38,53
3,2,2,67,76,63
3,2,2,89,96,88
3,2,2,65,72,64
3,1,2,59,65,51
3,2,2,33,33,36
3,1,1,79,80,67
6,1,1,80,80,71
1,1,2,34,26,29
1,1,1,65,59,57
4,2,3,56,52,53
6,2,1,87,80,83
4,1,2,56,52,64
1,2,2,45,48,39
4,1,2,78,76,83
4,2,2,80,76,75
4,1,1,53,48,60
3,1,3,64,57,70
4,1,2,72,77,76
4,1,2,76,78,67
6,1,2,91,94,79
3,1,1,79,73,82
3,1,1,54,45,48
3,1,2,64,68,60
3,1,2,87,89,79
2,2,2,84,84,92
5,1,2,94,97,91
6,2,2,56,53,57
1,2,3,58,47,51
2,2,2,74,76,83
3,2,2,58,51,42
2,1,2,78,80,67
3,1,2,61,65,78
3,1,2,63,59,65
3,2,1,49,51,54
5,2,2,83,87,87
2,1,2,66,65,70
1,1,2,79,77,83
3,1,2,75,78,64
2,2,2,68,63,63
3,1,2,72,70,76
3,2,2,84,84,81
3,1,1,57,59,60
4,1,1,54,51,62
4,1,2,77,73,69
1,2,2,46,47,32
1,1,1,62,67,48
2,2,2,91,84,94
3,2,1,69,66,59
4,1,3,74,81,70
1,1,2,54,52,57
4,1,2,77,73,71
3,1,3,65,58,60
3,1,2,48,45,39
6,2,1,78,83,76
3,1,3,71,62,58
1,2,1,43,46,48
5,1,1,79,80,93
2,2,2,89,88,79
1,2,2,96,89,80
4,1,1,96,96,97
3,1,2,92,86,81
4,2,3,94,97,91
3,1,1,48,52,53
3,1,2,86,87,83
4,1,2,52,50,44
5,1,2,73,76,79
2,1,1,65,52,59
2,1,3,81,84,74
2,1,2,55,52,56
2,2,1,61,59,54
2,2,3,68,67,70
1,2,2,83,79,66
4,1,2,86,83,75
3,2,1,69,71,58
6,1,2,36,39,27
5,1,3,58,60,66
4,1,1,68,71,63
3,1,2,80,78,90
1,1,3,62,61,59
1,2,1,84,87,95
5,2,2,79,78,63
3,1,2,65,61,63
4,2,2,90,85,91
6,2,1,46,52,60
1,1,2,77,68,65
4,2,3,77,86,53
4,1,1,73,71,82
4,1,2,48,43,55
4,1,1,55,51,59
4,1,2,65,61,71
2,2,2,55,54,61
3,1,2,34,24,21
6,1,2,89,88,70
3,2,2,51,52,61
5,1,3,63,63,59
2,1,2,61,57,53
3,1,1,62,63,64
1,1,3,70,62,54
2,2,2,71,65,59
1,2,1,68,71,63
4,1,1,55,54,46
4,1,2,84,85,81
5,1,1,89,83,90
4,2,1,74,76,79
4,1,1,78,75,76
2,1,2,61,64,56
3,1,2,66,71,59
6,1,2,67,64,76
3,1,3,63,62,44
3,1,2,67,66,60
3,1,2,80,77,70
5,2,2,54,63,73
2,1,2,53,53,53
5,1,3,38,41,49
3,1,2,71,67,49
3,1,2,69,68,59
5,1,2,65,64,49
1,1,2,66,52,77
5,2,2,96,92,81
1,1,2,65,64,60
4,1,1,44,40,50
6,2,2,60,66,64
1,2,2,94,93,90
3,1,1,55,50,44
2,1,3,76,77,61
2,1,3,45,40,40
3,1,1,68,68,73
4,1,1,58,65,68
1,2,2,83,82,89
3,1,1,48,43,49
3,1,2,79,71,62
1,1,2,47,42,51
3,1,1,54,49,59
1,1,2,90,87,90
4,1,1,85,86,91
5,1,2,83,91,85
3,1,2,86,77,92
3,2,2,98,99,96
6,2,2,85,86,69
4,1,3,81,80,98
1,1,3,57,49,51
4,2,3,94,100,89
4,2,1,62,61,58
4,1,1,48,42,33
1,1,3,70,69,72
5,1,1,74,76,73
5,1,3,73,68,67
3,1,2,74,66,80
2,1,3,78,78,93
1,1,3,88,90,86
5,2,3,54,69,54
3,2,1,81,83,75
2,1,2,47,49,57
2,1,2,78,73,84
5,1,2,53,56,48
4,1,2,65,62,69
3,2,2,59,61,47
5,2,3,100,99,100
2,1,2,54,62,47
6,1,1,65,61,73
4,1,3,86,84,81
5,1,2,91,91,77
2,2,2,60,64,62
4,1,2,78,75,67
4,1,2,73,79,66
6,1,2,69,73,62
3,2,2,83,79,67
2,2,3,43,44,46
4,2,1,81,78,77
4,2,2,53,54,59
3,2,3,73,80,64
6,2,2,84,79,75
5,2,2,100,100,94
3,1,2,51,54,44
4,1,3,53,54,50
6,1,1,59,61,68
3,1,2,72,67,82
1,1,2,53,55,71
3,1,2,62,61,58
4,2,2,98,99,90
3,2,3,55,57,42
4,2,2,98,99,94
1,2,2,48,47,52
3,1,2,65,64,67
3,1,2,44,52,47
1,1,2,56,49,67
5,2,3,86,96,99
5,1,1,36,34,30
6,1,2,66,79,64
3,1,1,84,77,85
4,1,1,68,67,72
5,1,2,71,65,68
3,1,2,51,43,42
2,1,3,76,68,78
1,1,2,84,88,83
3,1,2,65,69,57
3,2,1,61,55,56
3,2,2,61,69,58
3,1,2,78,72,86
6,2,3,90,86,81
2,1,1,65,62,54
4,2,2,88,95,94
6,1,3,89,93,88
3,1,3,40,43,56
5,2,2,87,91,76
