,ParentEduc,TestPrep,WklyStudyHours,ReadingScore,WritingScore,MathScore
209,1,1,2,81,76,88
210,4,2,3,67,76,55
211,6,1,1,55,52,43
212,3,1,2,72,71,72
213,2,1,2,50,55,58
214,3,1,2,72,64,68
215,3,2,3,97,98,93
216,3,1,2,64,67,78
217,4,1,2,43,43,47
218,5,1,2,86,83,67
219,1,1,3,88,79,94
220,5,2,3,83,85,85
221,4,1,3,77,80,84
222,5,1,1,65,67,62
223,1,1,1,59,72,62
224,3,1,3,53,53,57
225,4,1,2,80,80,84
226,2,2,3,69,67,75
227,5,1,2,84,85,82
228,3,1,1,50,43,58
229,1,1,1,73,69,74
230,4,1,1,74,69,82
231,4,1,2,77,75,91
232,2,2,2,70,68,58
233,2,1,1,63,60,63
234,2,1,3,60,54,70
235,1,2,2,49,49,47
236,3,1,1,82,83,70
237,1,2,2,70,70,60
238,6,1,2,80,72,80
239,2,1,2,52,52,54
240,3,1,2,73,70,62
241,4,1,1,71,66,62
242,4,2,2,78,78,80
243,1,2,3,80,78,65
244,3,2,2,79,78,79
245,1,1,2,50,52,45
246,2,1,2,93,90,99
247,2,1,2,73,68,76
248,1,1,1,41,40,57
249,5,1,1,73,79,61
250,2,1,2,73,78,71
251,4,2,3,94,99,93
252,3,1,2,76,70,71
253,5,1,2,63,61,69
254,3,1,1,48,42,57
255,4,1,2,53,59,48
256,3,1,2,70,71,65
257,3,2,1,83,74,85
258,5,1,2,78,73,83
259,1,2,1,90,91,82
260,3,2,1,62,73,57
261,1,1,2,86,80,65
262,5,1,2,56,57,73
263,2,1,2,48,46,45
264,5,1,2,80,86,75
265,3,2,2,76,76,67
266,1,1,1,45,46,36
267,4,2,2,80,79,78
268,4,2,2,83,90,99
269,1,1,1,87,80,64
270,5,1,1,73,74,85
271,1,2,3,77,78,79
272,4,1,2,70,68,76
273,1,1,1,71,68,83
274,1,2,2,59,55,61
275,5,1,3,74,76,66
276,2,2,2,78,82,80
277,4,1,3,61,59,66
278,1,2,2,41,44,47
279,4,2,2,75,69,73
280,3,2,1,45,50,39
281,4,1,1,86,75,89
282,3,2,1,75,77,76
283,1,1,1,53,52,55
284,4,2,3,83,80,66
285,4,1,2,77,65,82
286,4,2,2,76,85,76
287,3,1,2,67,69,69
288,3,2,2,88,83,100
289,1,1,2,52,45,52
290,4,1,3,73,70,56
291,2,1,1,56,52,48
292,4,1,2,76,80,73
293,5,1,1,58,54,62
294,5,2,2,61,68,67
295,4,2,3,68,70,70
296,2,1,2,66,66,73
297,6,2,2,80,88,74
298,4,1,2,72,78,83
299,5,1,1,69,67,61
300,4,1,1,64,63,55
301,2,1,1,77,82,64
302,2,1,3,85,78,74
303,3,1,1,80,80,70
304,1,1,2,52,51,40
305,2,1,1,45,42,39
306,3,1,2,90,94,82
307,3,1,2,61,62,61
308,3,1,3,23,19,29
309,4,2,2,75,77,82
310,1,1,1,54,49,39
311,2,1,1,59,61,70
312,4,1,1,36,34,45
313,4,2,3,55,52,61
314,4,1,2,78,81,90
315,5,1,2,93,95,83
316,3,1,2,69,67,62
317,1,2,2,71,70,78
318,4,1,2,51,44,50
319,1,1,1,37,26,23
320,1,2,2,55,60,35
321,2,1,3,62,54,61
322,3,1,2,74,64,62
323,3,2,1,74,72,66
324,4,2,1,70,65,64
325,3,1,1,72,67,78
326,2,1,2,80,75,72
327,3,1,2,61,57,62
328,5,2,1,93,95,76
329,4,1,3,76,79,92
330,5,1,2,65,69,52
331,3,1,3,57,53,67
332,3,2,1,76,78,61
333,4,1,1,57,57,45
334,3,1,1,68,66,55
335,5,1,3,74,73,64
336,3,1,2,61,61,63
337,3,2,1,65,67,40
338,3,1,1,88,87,77
339,2,1,2,61,57,56
340,1,2,2,85,79,87
341,3,1,2,58,59,53
342,1,1,1,33,31,26
343,3,1,2,60,59,60
344,5,2,3,59,62,51
345,2,2,2,58,53,69
346,5,1,3,67,63,64
347,1,1,2,64,58,44
348,1,1,2,83,84,71
349,3,1,2,78,72,86
350,3,2,2,73,70,45
351,1,1,3,75,73,76
352,3,2,3,98,97,84
353,5,1,3,71,74,60
354,1,1,3,91,83,82
355,6,2,2,95,100,85
356,1,1,3,84,78,73
357,5,1,2,64,63,67
358,4,1,2,86,83,80
359,4,2,1,98,93,84
360,6,1,2,82,73,79
361,1,1,3,50,47,40
362,1,1,2,41,40,35
363,3,1,2,77,76,69
364,5,1,1,71,68,62
365,3,1,2,79,68,58
366,2,1,2,64,64,62
367,6,1,1,70,75,71
368,1,2,2,68,60,75
369,3,1,1,66,75,74
370,3,1,3,68,68,78
371,4,2,3,55,58,60
372,1,2,2,74,77,65
373,2,1,2,65,61,48
374,1,1,1,62,57,73
375,1,1,1,57,51,56
376,1,2,2,54,68,60
377,3,1,2,43,43,53
378,3,1,3,66,57,51
379,2,2,2,99,100,88
380,2,1,2,59,63,55
381,1,1,1,72,68,62
382,4,2,3,66,65,68
383,4,1,2,81,78,84
384,2,2,2,57,56,52
385,4,2,3,83,84,86
386,6,2,2,73,78,72
387,3,2,2,84,79,86
388,4,1,2,66,60,71
389,3,1,2,73,80,52
390,2,1,2,74,70,86
391,5,2,1,72,66,68
392,4,1,1,71,65,71
393,3,1,2,59,63,70
394,2,2,2,56,54,57
395,2,2,1,57,64,56
396,6,2,3,59,68,47
397,1,2,1,83,78,57
398,3,1,2,39,34,41
399,3,1,1,65,60,60
400,5,1,2,84,88,88
401,1,1,2,72,66,71
402,1,1,2,59,53,65
403,1,1,3,63,55,70
404,4,1,1,65,57,62
405,2,1,2,72,70,61
406,2,1,1,54,52,57
407,1,1,1,58,49,45
408,3,1,3,66,67,75
409,3,2,2,48,53,50
410,4,1,2,69,65,77
411,3,1,2,66,73,75
412,2,1,1,55,51,69
413,1,2,2,88,82,89
414,3,2,2,82,80,69
415,2,1,2,81,80,78
416,1,1,2,73,69,59
417,4,1,1,81,74,70
418,1,1,2,82,73,79
419,1,2,2,75,78,69
420,3,1,3,67,62,73
421,2,2,3,83,83,91
422,2,1,2,46,43,48
423,4,1,2,74,73,83
424,3,2,2,85,85,64
425,3,1,2,92,97,100
426,4,1,3,79,77,68
427,3,1,3,57,48,64
428,4,1,2,61,63,54
429,5,1,2,56,47,37
430,5,1,2,89,89,79
431,4,1,2,54,49,54
432,5,1,2,100,100,100
433,2,1,2,65,68,72
434,5,1,1,57,55,52
435,3,1,2,54,45,54
436,3,1,2,68,74,68
437,3,1,2,90,91,77
438,5,2,2,58,62,75
439,3,1,2,87,91,84
440,4,1,3,31,38,26
441,2,2,3,69,67,76
442,2,2,2,89,87,79
443,3,1,2,75,77,93
444,4,2,2,85,90,83
445,2,1,1,68,74,62
446,4,2,2,86,84,68
447,1,1,3,66,60,57
448,4,1,2,90,91,90
449,5,2,3,77,84,73
450,5,2,2,62,66,76
451,3,1,2,68,72,80
452,6,1,2,64,70,53
453,4,1,3,72,68,78
454,2,2,2,71,68,73
455,4,1,2,59,56,52
456,3,1,3,69,62,70
457,2,1,2,52,46,59
458,4,1,1,51,54,48
459,2,1,1,72,69,67
460,3,1,2,47,56,61
461,4,1,2,75,74,60
462,1,2,2,53,58,65
463,4,2,2,80,79,76
464,4,1,1,84,76,64
465,4,1,2,64,70,64
466,3,1,2,83,90,83
467,5,1,1,86,88,78
468,2,1,1,63,68,53
469,2,2,2,64,66,68
470,3,1,1,47,52,53
471,3,2,2,78,76,59
472,3,1,1,69,70,73
473,6,1,2,80,84,74
474,4,2,1,85,90,91
475,3,1,2,61,54,63
476,4,2,3,91,96,100
477,6,1,2,61,57,41
478,1,1,1,80,78,79
479,2,1,2,71,67,70
480,3,1,2,78,77,79
481,5,1,2,93,89,88
482,3,1,2,71,73,76
483,3,1,1,49,42,62
484,1,1,1,48,52,61
485,1,2,2,61,63,55
486,6,2,2,97,94,77
487,1,2,2,87,85,76
488,3,1,2,89,84,74
489,3,2,2,72,71,64
490,1,2,2,79,79,67
491,2,2,2,78,79,67
492,3,1,2,49,52,71
493,4,1,2,86,84,91
494,5,1,3,58,58,71
495,6,1,2,61,52,56
496,2,2,2,52,49,53
497,3,1,3,60,60,70
498,1,2,1,60,58,54
499,2,1,2,53,43,36
500,5,1,1,40,46,28
501,4,1,2,72,68,60
502,4,2,2,67,73,68
503,1,1,2,53,51,45
504,4,2,1,60,56,60
505,4,2,2,88,94,79
506,2,2,3,70,69,75
507,5,2,2,83,83,66
508,4,2,1,58,55,47
509,2,1,2,65,60,49
510,5,2,1,65,69,82
511,4,2,3,93,87,99
512,2,2,2,69,68,75
513,4,1,1,80,78,76
514,4,1,2,78,80,83
515,4,1,3,97,93,86
516,3,1,2,63,66,64
517,1,2,2,84,82,80
518,1,2,2,100,97,92
519,2,2,1,66,64,71
520,2,1,1,66,64,61
521,6,1,1,72,69,77
522,1,1,1,74,63,76
523,5,2,2,91,90,89
524,3,1,2,47,48,38
525,3,1,2,62,65,79
526,4,1,3,46,41,56
527,3,1,3,40,34,33
528,6,1,2,69,69,63
529,4,1,1,68,68,51
530,1,1,3,66,63,75
531,3,2,2,75,79,74
532,3,1,3,76,77,66
533,5,2,1,89,92,95
534,3,2,2,80,80,63
535,5,1,1,50,45,46
536,4,1,1,42,44,46
537,5,2,2,98,97,89
538,6,2,2,72,80,61
539,2,1,1,47,47,62
540,5,1,2,69,68,70
541,3,2,2,76,71,73
542,5,1,2,94,89,88
543,3,1,3,62,57,54
544,2,2,2,66,64,50
545,2,1,3,82,72,76
546,4,1,2,55,53,40
547,3,2,2,51,52,61
548,2,1,1,89,87,78
549,3,2,3,56,59,49
550,6,1,1,60,68,52
551,1,1,1,95,94,78
552,1,1,2,77,78,74
553,5,1,2,73,78,63
554,4,2,3,76,81,75
555,2,1,2,73,73,55
556,5,1,1,62,62,43
557,3,1,1,63,65,53
558,1,1,2,66,65,48
559,3,1,1,56,52,56
560,1,1,2,61,48,67
561,5,1,2,66,62,65
562,3,1,2,76,73,74
563,5,2,2,100,100,94
564,5,2,3,80,73,57
565,2,1,2,24,15,30
566,1,1,2,53,46,51
567,2,1,3,78,74,71
568,1,1,2,82,81,65
569,6,1,1,60,63,52
570,2,1,2,29,30,29
571,3,1,2,78,80,76
572,2,1,2,57,51,60
573,6,2,1,87,88,81
574,1,1,1,70,60,72
575,4,1,2,82,79,82
576,6,1,2,59,55,40
577,3,1,2,63,60,59
578,4,1,1,62,65,57
579,3,2,2,60,63,69
580,3,1,1,58,64,56
581,5,2,1,88,89,91
582,4,1,2,93,93,82
583,2,1,2,68,72,60
584,5,1,2,45,38,37
585,5,1,2,78,83,88
586,6,1,2,82,86,95
587,4,2,1,70,64,61
588,2,1,3,61,55,36
589,3,1,2,63,57,63
590,2,2,3,51,53,59
591,3,2,2,94,83,97
592,5,1,1,57,62,60
593,3,2,1,96,99,99
594,4,2,2,68,61,66
595,4,1,2,48,46,61
596,3,1,2,57,47,50
597,1,2,2,51,56,45
598,3,1,2,63,68,64
599,2,1,2,60,66,81
600,5,2,3,75,82,67
601,2,1,2,88,85,75
602,2,1,2,74,64,71
603,1,2,1,89,84,75
604,3,1,2,77,75,88
605,3,1,2,72,71,73
606,2,1,3,52,52,42
607,4,2,3,89,91,76
608,1,1,1,78,75,67
609,2,2,2,80,82,76
610,2,1,1,64,58,67
611,5,2,2,79,78,63
612,4,1,3,72,67,62
613,3,1,1,61,66,62
614,2,1,2,53,56,51
615,3,2,2,77,78,66
616,1,2,3,56,54,52
617,2,2,2,81,77,70
618,3,2,1,84,96,82
619,4,2,2,70,74,65
620,1,1,2,79,79,73
621,3,1,2,67,67,62
622,4,1,3,68,65,79
623,1,1,3,66,62,71
624,4,1,2,60,58,43
625,4,1,2,87,85,90
626,1,1,2,65,61,70
627,3,1,1,70,69,54
628,2,1,2,69,67,65
629,4,1,2,63,64,82
630,1,2,2,60,60,50
631,3,2,2,73,71,63
632,5,1,1,83,85,74
633,3,1,2,75,62,75
634,4,2,2,72,77,81
635,2,1,1,73,64,62
636,4,1,1,56,49,50
637,3,1,2,79,77,71
638,4,1,2,84,84,65
639,2,2,2,78,79,71
640,3,2,2,64,66,50
641,3,2,2,78,76,73
642,3,2,3,83,77,72
643,4,1,2,76,79,83
644,3,1,2,61,60,63
645,2,1,1,71,74,66
646,2,1,2,55,55,63
647,3,2,2,40,45,29
648,3,1,1,65,68,61
649,6,2,3,100,100,97
650,3,2,2,75,68,85
651,4,1,3,80,76,81
652,2,1,2,58,44,53
653,3,1,2,90,83,93
654,4,1,2,52,51,47
655,4,1,1,74,76,70
656,3,2,3,75,82,67
657,4,1,2,78,74,79
658,1,1,2,63,56,49
659,3,1,3,90,87,81
660,4,2,1,80,88,72
661,5,1,1,70,68,57
662,4,2,2,78,79,57
663,2,1,2,65,57,64
664,5,2,2,82,84,81
665,1,1,2,65,70,55
666,5,2,1,83,87,86
667,3,1,2,63,65,61
668,1,2,1,62,62,57
669,3,1,2,73,66,63
670,2,1,2,34,36,47
671,3,1,2,59,52,66
672,2,1,1,84,75,83
673,4,2,2,61,58,42
674,3,2,2,84,90,93
675,1,2,2,85,85,80
676,3,1,2,100,99,98
677,6,1,1,81,84,79
678,1,2,3,72,77,63
679,4,2,1,93,87,75
680,4,2,1,75,68,68
681,4,2,2,96,99,96
682,2,1,2,77,75,78
683,4,2,1,70,76,85
684,3,1,2,73,71,63
685,1,2,2,59,60,56
686,1,1,1,89,88,73
687,2,1,2,48,43,51
688,3,1,3,43,41,48
689,3,2,1,71,67,76
690,3,2,3,76,78,66
691,1,2,2,51,58,70
692,2,1,1,90,82,70
693,3,1,1,38,37,52
694,4,2,1,75,78,65
695,1,1,1,45,42,53
696,3,2,3,88,93,86
697,3,1,2,47,44,55
698,3,1,3,57,56,52
699,6,1,1,56,57,64
700,4,1,2,80,86,94
701,3,2,2,66,73,53
702,4,1,2,71,73,81
703,2,1,2,60,56,62
704,5,1,3,72,71,79
705,4,1,2,57,56,37
706,2,1,2,84,82,81
707,4,2,2,73,72,59
708,3,1,2,55,48,56
709,4,1,1,78,74,71
710,2,1,2,76,72,71
711,3,1,2,64,68,69
712,5,1,2,60,59,50
713,3,2,2,84,86,87
714,1,2,2,69,68,71
715,3,1,3,71,64,67
716,6,2,2,77,75,77
717,1,2,2,90,85,77
718,4,1,2,55,54,59
719,4,1,3,96,93,86
720,3,1,3,58,53,56
721,5,2,2,68,72,70
722,3,2,2,59,66,53
723,3,2,2,77,77,69
724,2,1,2,72,64,53
725,1,1,2,58,54,48
726,1,2,2,79,83,75
727,2,1,2,61,61,60
728,3,1,2,63,59,60
729,2,1,2,72,72,74
730,2,2,1,74,77,57
731,2,2,2,62,60,76
732,1,1,3,70,74,67
733,3,1,2,59,55,56
734,2,1,1,47,48,50
735,5,1,3,75,77,79
736,1,2,1,65,68,48
737,5,1,2,78,79,62
738,3,1,2,64,58,64
739,1,1,1,57,55,48
740,2,1,1,71,70,65
741,3,1,2,44,44,36
742,3,2,3,80,83,74
743,4,2,2,86,84,96
744,4,1,2,56,58,47
745,6,1,1,90,84,75
746,3,2,2,85,82,76
747,4,2,2,59,62,52
748,5,2,1,79,77,88
749,1,2,2,51,44,32
750,1,1,2,80,78,74
751,3,1,1,37,32,18
752,4,1,2,65,62,70
753,6,1,2,65,61,52
754,2,1,3,62,61,49
755,3,1,3,67,73,63
756,2,1,1,73,69,65
757,1,2,1,81,73,83
758,2,1,2,52,52,43
759,4,2,2,69,74,58
760,2,1,2,70,70,70
761,4,1,2,84,81,70
762,3,1,2,60,54,69
763,4,1,2,54,55,50
764,1,2,2,73,68,67
765,3,1,2,86,89,84
766,3,1,2,74,76,70
767,3,1,1,79,72,72
768,3,1,1,72,73,62
769,2,1,3,45,40,42
770,2,1,2,75,69,90
771,5,1,2,54,51,59
772,1,1,2,31,36,51
773,2,1,3,47,49,46
774,6,2,1,63,67,53
775,1,2,3,85,77,89
776,2,1,3,81,84,74
777,1,2,2,87,89,96
778,5,2,2,71,77,62
779,2,1,2,72,68,60
780,1,1,1,89,86,74
781,1,2,2,90,92,85
782,3,2,2,52,52,50
783,1,1,3,58,53,49
784,2,1,1,66,58,61
785,4,2,2,68,70,56
786,1,1,1,68,76,64
787,1,1,1,53,53,67
788,3,1,3,61,59,64
789,5,2,2,87,91,76
790,5,1,3,59,57,63
791,3,1,2,50,46,59
792,2,2,2,64,75,61
793,2,1,3,65,59,77
794,2,2,3,84,82,79
795,4,2,1,56,53,57
796,2,1,2,52,46,39
797,1,1,2,58,52,65
798,2,2,3,44,36,23
799,3,2,3,78,77,76
800,1,2,1,64,64,39
801,6,1,1,85,84,88
802,6,2,2,85,85,91
803,2,1,2,73,69,60
804,4,1,2,76,70,82
805,6,1,2,67,67,69
806,2,1,1,66,61,59
807,3,1,1,84,93,86
808,1,1,1,65,58,77
809,1,1,2,64,55,62
810,5,1,1,96,96,96
811,3,1,2,69,66,77
812,5,1,2,80,83,66
813,2,2,2,49,47,53
814,4,1,2,73,72,87
815,4,1,2,61,51,51
816,6,1,3,87,88,83
817,5,2,1,41,37,37
818,3,2,1,70,80,70
819,4,1,2,94,93,99
820,3,2,2,80,85,79
821,4,1,1,41,41,60
822,4,2,3,75,73,80
823,4,1,3,52,53,51
824,2,1,2,58,47,59
825,4,2,2,84,78,82
826,4,1,1,87,78,84
827,5,1,1,61,59,41
828,3,1,2,64,66,80
829,3,1,2,82,84,81
830,1,1,2,61,54,57
831,1,1,2,73,82,60
832,4,1,2,76,74,64
833,5,2,1,63,64,61
834,5,2,1,69,70,70
835,2,1,3,75,74,67
836,5,1,3,46,44,56
837,4,1,1,49,51,47
838,4,2,2,76,80,62
839,4,2,3,100,99,98
840,3,1,2,65,74,69
841,2,1,1,50,47,42
842,3,2,2,86,93,88
843,4,1,2,93,87,87
844,6,1,2,68,75,50
845,1,2,3,75,76,90
846,4,1,1,60,65,55
847,3,1,2,34,38,32
848,2,1,2,29,27,37
849,1,2,1,77,79,62
850,3,2,1,53,61,64
851,1,2,2,78,82,65
852,6,1,2,84,89,85
853,6,1,2,79,76,73
854,2,2,1,47,40,32
855,5,2,2,100,100,93
856,1,1,2,85,86,69
857,3,1,1,74,73,82
858,3,1,1,47,51,56
859,3,2,3,86,95,83
860,5,1,2,75,72,67
861,5,2,1,63,68,67
862,5,1,2,42,48,50
863,3,1,2,85,84,71
864,5,2,2,61,66,52
865,5,2,1,61,66,46
866,4,1,3,61,56,47
867,3,1,2,71,67,70
868,5,2,2,100,100,100
869,2,1,1,60,52,43
870,4,2,2,78,82,58
871,3,2,2,96,91,91
872,2,1,2,71,68,71
873,2,1,1,65,66,71
874,4,1,2,65,65,54
875,2,1,2,70,69,74
876,1,2,2,64,61,76
877,3,1,2,56,52,64
878,2,2,3,61,72,66
879,4,2,2,43,44,46
880,1,1,1,54,48,45
881,3,1,1,56,62,61
882,4,2,2,72,74,62
883,3,2,1,73,72,67
884,4,2,3,88,91,100
885,3,1,2,63,59,72
886,4,1,2,56,51,64
887,2,1,1,57,57,56
888,3,2,2,81,85,85
889,1,2,2,69,70,79
890,6,2,2,66,72,70
891,6,1,2,94,100,81
892,2,1,1,65,64,80
893,1,2,2,62,61,61
894,2,1,1,66,59,56
895,4,1,2,61,59,55
896,2,1,1,80,78,79
897,3,1,1,57,58,47
898,1,2,1,49,52,48
899,2,2,3,76,74,58
900,2,1,2,71,69,91
901,3,2,2,78,85,77
902,1,1,2,74,72,74
903,2,2,2,52,54,58
904,3,1,1,67,67,60
905,4,1,3,58,64,76
906,3,1,2,88,83,86
907,6,1,2,100,100,92
908,2,1,1,62,59,44
909,2,1,2,81,71,75
910,3,1,2,58,65,57
911,1,1,2,54,54,49
912,4,1,2,100,100,100
913,1,2,2,74,73,63
914,3,1,2,57,58,72
915,3,1,2,71,73,63
916,1,2,2,69,65,67
917,3,1,1,61,57,59
918,4,1,2,77,68,70
919,5,1,2,82,78,72
920,5,1,2,100,100,91
921,1,2,3,74,72,82
922,2,2,2,50,61,54
923,3,1,1,64,61,48
924,3,1,1,62,65,52
925,4,1,1,64,56,60
926,2,2,1,40,48,54
927,4,1,2,95,94,91
928,2,1,2,24,23,8
929,1,1,2,79,79,83
930,1,2,1,83,84,76
931,3,2,3,89,95,82
932,1,1,2,74,81,72
933,2,1,1,50,54,56
934,4,1,2,58,49,38
935,1,2,2,76,77,83
936,1,1,2,44,43,41
937,3,2,2,87,85,69
938,2,2,2,82,76,88
939,1,2,2,83,79,66
940,4,1,2,76,76,55
941,5,1,2,72,74,62
942,2,1,3,64,64,66
943,6,1,2,99,95,86
944,2,1,1,54,55,61
945,2,2,2,71,65,59
946,3,2,2,78,77,68
947,3,1,3,88,89,81
948,3,1,2,86,82,72
949,3,2,1,96,98,88
950,1,1,2,73,66,60
951,5,1,2,57,63,74
952,3,1,2,52,54,64
953,3,1,1,65,69,60
954,1,2,1,72,73,63
955,1,1,1,86,81,74
956,4,2,3,71,76,48
957,1,1,3,63,62,72
958,5,1,1,99,100,99
959,4,1,1,61,52,59
960,2,1,2,81,88,81
961,3,1,1,57,62,68
962,4,1,1,79,75,95
963,6,1,2,94,96,88
964,2,1,2,71,66,80
965,2,1,2,46,46,42
966,2,2,3,77,79,80
967,6,2,3,64,68,52
968,5,1,2,82,86,79
969,3,2,1,83,81,62
970,6,1,3,82,85,74
971,3,1,2,70,64,65
972,6,1,2,76,76,70
973,3,1,1,64,52,64
974,4,2,2,88,89,72
975,2,1,1,57,59,61
976,6,1,3,79,80,75
977,4,2,3,69,68,65
978,3,1,3,76,77,59
979,5,1,2,67,68,52
980,2,1,1,38,39,49
981,2,2,2,100,100,100
982,4,1,2,53,55,45
983,1,1,2,78,80,70
984,4,1,1,69,71,77
985,2,1,2,63,62,72
986,4,2,2,83,90,77
987,4,2,3,96,95,86
988,5,1,2,66,72,74
989,5,2,2,100,100,100
990,1,2,3,68,68,78
991,2,1,2,81,79,73
992,3,1,2,49,43,59
993,2,1,2,64,59,71
